Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14 00:00:00+05:30,155.9499969482422,155.9499969482422,146.10000610351562,146.8000030517578,96.85870361328125,23140309
2021-05-17 00:00:00+05:30,147.0,149.14999389648438,144.0,148.14999389648438,97.74943542480469,17076463
2021-05-18 00:00:00+05:30,149.10000610351562,149.8000030517578,146.10000610351562,146.4499969482422,96.62777709960938,10295029
2021-05-19 00:00:00+05:30,146.4499969482422,152.5,145.10000610351562,151.85000610351562,100.19072723388672,23999878
2021-05-20 00:00:00+05:30,152.39999389648438,152.39999389648438,146.0500030517578,146.64999389648438,96.7597427368164,22983457
2021-05-21 00:00:00+05:30,147.0,149.60000610351562,146.85000610351562,147.1999969482422,97.12262725830078,13009821
2021-05-24 00:00:00+05:30,148.10000610351562,149.75,145.64999389648438,148.89999389648438,98.24430084228516,14192862
2021-05-25 00:00:00+05:30,149.8000030517578,150.0,147.10000610351562,147.4499969482422,97.28759002685547,10434892
2021-05-26 00:00:00+05:30,147.8000030517578,148.0,145.1999969482422,145.6999969482422,96.1329345703125,9948786
2021-05-27 00:00:00+05:30,145.75,146.3000030517578,144.10000610351562,144.5500030517578,95.37416076660156,24064196
2021-05-28 00:00:00+05:30,145.60000610351562,148.8000030517578,144.75,146.89999389648438,96.92469024658203,16465504
2021-05-31 00:00:00+05:30,147.0500030517578,148.39999389648438,145.0500030517578,147.6999969482422,97.4525375366211,11767444
2021-06-01 00:00:00+05:30,148.5500030517578,149.39999389648438,146.89999389648438,147.60000610351562,97.38655090332031,9307143
2021-06-02 00:00:00+05:30,147.5,149.89999389648438,147.0,149.10000610351562,98.37626647949219,10714318
2021-06-03 00:00:00+05:30,150.0,150.39999389648438,148.60000610351562,149.0500030517578,98.3432846069336,9282774
2021-06-04 00:00:00+05:30,149.0,154.39999389648438,148.1999969482422,153.10000610351562,101.01547241210938,29422387
2021-06-07 00:00:00+05:30,156.0,158.85000610351562,155.4499969482422,156.25,103.09382629394531,31071589
2021-06-08 00:00:00+05:30,157.39999389648438,157.5,152.8000030517578,156.0,102.92887115478516,12874065
2021-06-09 00:00:00+05:30,157.0,161.39999389648438,155.1999969482422,156.39999389648438,103.19279479980469,30443113
2021-06-10 00:00:00+05:30,157.10000610351562,158.75,155.75,156.5,103.25875854492188,11459484
2021-06-11 00:00:00+05:30,157.0,165.0,156.64999389648438,162.64999389648438,107.3165283203125,61728565
2021-06-14 00:00:00+05:30,164.0,164.0,155.5500030517578,159.35000610351562,105.13921356201172,30836595
2021-06-15 00:00:00+05:30,161.10000610351562,161.85000610351562,156.75,157.14999389648438,103.68762969970703,30153988
2021-06-16 00:00:00+05:30,157.3000030517578,158.8000030517578,154.85000610351562,155.5500030517578,102.63198852539062,14098443
2021-06-17 00:00:00+05:30,155.0,155.39999389648438,151.39999389648438,152.14999389648438,100.38861846923828,15784276
2021-06-18 00:00:00+05:30,153.0,153.8000030517578,145.10000610351562,146.39999389648438,96.59478759765625,24823176
2021-06-21 00:00:00+05:30,146.0,148.0,143.5,147.5,97.32058715820312,15038290
2021-06-22 00:00:00+05:30,148.89999389648438,149.5,147.8000030517578,148.6999969482422,98.11234283447266,12494441
2021-06-23 00:00:00+05:30,149.85000610351562,150.60000610351562,148.14999389648438,148.4499969482422,97.9473876953125,7983220
2021-06-24 00:00:00+05:30,148.4499969482422,149.10000610351562,146.0,146.39999389648438,96.59478759765625,12929173
2021-06-25 00:00:00+05:30,146.75,149.25,146.75,148.75,98.14532470703125,7400514
2021-06-28 00:00:00+05:30,147.10000610351562,149.0,147.0,147.1999969482422,97.12262725830078,8217659
2021-06-29 00:00:00+05:30,147.10000610351562,147.89999389648438,143.9499969482422,144.5,95.3411865234375,21576435
