Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14 00:00:00+05:30,6418.0,6482.0,6256.89990234375,6368.10009765625,6196.08447265625,405281
2021-05-17 00:00:00+05:30,6379.89990234375,6554.25,6331.0,6532.35009765625,6355.8984375,357292
2021-05-18 00:00:00+05:30,6580.0,6670.0,6562.60009765625,6653.0,6473.2890625,451024
2021-05-19 00:00:00+05:30,6630.0,6755.0,6520.0498046875,6561.2001953125,6383.96875,475946
2021-05-20 00:00:00+05:30,6600.0,6632.4501953125,6520.7001953125,6573.85009765625,6396.27685546875,256088
2021-05-21 00:00:00+05:30,6607.89990234375,6674.75,6590.0498046875,6637.60009765625,6458.3046875,307027
2021-05-24 00:00:00+05:30,6650.0,6672.39990234375,6540.0498046875,6562.39990234375,6385.13623046875,288501
2021-05-25 00:00:00+05:30,6627.0,6637.35009765625,6527.2001953125,6556.60009765625,6379.49365234375,176134
2021-05-26 00:00:00+05:30,6594.89990234375,6618.0,6525.14990234375,6580.89990234375,6403.13671875,248015
2021-05-27 00:00:00+05:30,6600.0,6724.9501953125,6580.25,6673.25,6492.99169921875,1707144
2021-05-28 00:00:00+05:30,6724.0,6735.0,6585.60009765625,6598.5,6420.2607421875,285093
2021-05-31 00:00:00+05:30,6633.9501953125,6721.0,6588.14990234375,6708.0,6526.80322265625,328449
2021-06-01 00:00:00+05:30,6723.0,6723.0,6560.0,6601.35009765625,6423.0341796875,397989
2021-06-02 00:00:00+05:30,6601.35009765625,6670.0,6552.35009765625,6594.2001953125,6416.07763671875,567704
2021-06-03 00:00:00+05:30,6630.0,6655.0,6575.0,6641.7001953125,6462.294921875,349479
2021-06-04 00:00:00+05:30,6630.0,6685.0,6615.64990234375,6664.2998046875,6484.28369140625,205504
2021-06-07 00:00:00+05:30,6689.9501953125,6907.9501953125,6663.0,6849.64990234375,6664.626953125,617042
2021-06-08 00:00:00+05:30,6895.0,6895.0,6725.0,6794.39990234375,6610.86962890625,218632
2021-06-09 00:00:00+05:30,6775.0,6787.60009765625,6682.0,6724.75,6543.10107421875,345102
2021-06-10 00:00:00+05:30,6748.0,6763.7998046875,6681.0,6709.64990234375,6528.4091796875,198704
2021-06-11 00:00:00+05:30,6725.10009765625,6754.9501953125,6650.0,6662.85009765625,6482.873046875,193014
2021-06-14 00:00:00+05:30,6655.0,6685.89990234375,6580.0,6678.5,6498.10009765625,160001
