Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14 00:00:00+05:30,6840.0,6842.14990234375,6700.2001953125,6736.39990234375,6456.419921875,647029
2021-05-17 00:00:00+05:30,6716.5,6838.39990234375,6697.5498046875,6717.85009765625,6438.64013671875,995827
2021-05-18 00:00:00+05:30,6788.0,6864.0,6715.4501953125,6811.10009765625,6528.01513671875,805827
2021-05-19 00:00:00+05:30,6799.0,6854.9501953125,6760.0,6775.89990234375,6494.27783203125,432774
2021-05-20 00:00:00+05:30,6780.7998046875,6814.7001953125,6729.5,6737.85009765625,6457.8095703125,470476
2021-05-21 00:00:00+05:30,6780.0,6835.5,6744.25,6814.64990234375,6531.41748046875,434363
2021-05-24 00:00:00+05:30,6802.0,6965.0,6802.0,6871.60009765625,6586.00048828125,1027484
2021-05-25 00:00:00+05:30,6939.9501953125,6948.0,6888.0,6911.7998046875,6624.52978515625,438736
2021-05-26 00:00:00+05:30,6926.0,7051.0,6912.0,7034.2998046875,6741.93798828125,691574
2021-05-27 00:00:00+05:30,7022.0,7069.0,6951.14990234375,6968.89990234375,6679.25634765625,922091
2021-05-28 00:00:00+05:30,6988.60009765625,7047.0,6940.5,6970.0,6680.31103515625,393809
2021-05-31 00:00:00+05:30,6955.0,7100.0,6924.0498046875,7086.2998046875,6791.77685546875,718277
2021-06-01 00:00:00+05:30,7107.5498046875,7143.0,7047.0498046875,7091.14990234375,6796.42578125,642841
2021-06-02 00:00:00+05:30,7063.4501953125,7197.7001953125,7063.4501953125,7184.7001953125,6886.087890625,598862
2021-06-03 00:00:00+05:30,7200.0,7230.0,7165.0498046875,7209.5,6909.85595703125,401590
2021-06-04 00:00:00+05:30,7200.0,7272.0,7151.10009765625,7214.7001953125,6914.8408203125,575591
2021-06-07 00:00:00+05:30,7221.0,7328.85009765625,7211.10009765625,7275.64990234375,6973.25732421875,520482
2021-06-08 00:00:00+05:30,7317.5,7366.4501953125,7295.2001953125,7336.75,7031.81787109375,538816
2021-06-09 00:00:00+05:30,7310.2001953125,7339.2001953125,7200.0,7239.0,6938.13037109375,443778
2021-06-10 00:00:00+05:30,7258.0,7279.4501953125,7174.0498046875,7199.89990234375,6900.6552734375,278027
2021-06-11 00:00:00+05:30,7244.0,7244.0,7186.39990234375,7223.7998046875,6923.56201171875,253689
2021-06-14 00:00:00+05:30,7195.0,7212.9501953125,7095.0498046875,7177.85009765625,6879.521484375,322353
2021-06-15 00:00:00+05:30,7181.14990234375,7228.85009765625,7156.2998046875,7166.25,6868.40478515625,207625
2021-06-16 00:00:00+05:30,7166.0,7193.75,7070.0,7114.25,6818.56591796875,283007
2021-06-17 00:00:00+05:30,7060.0,7099.10009765625,6931.10009765625,6969.35009765625,6679.6875,595255
2021-06-18 00:00:00+05:30,6989.85009765625,6989.85009765625,6821.0,6959.35009765625,6670.103515625,797389
2021-06-21 00:00:00+05:30,6870.0,6925.0,6842.0,6899.89990234375,6613.1240234375,443795
2021-06-22 00:00:00+05:30,6940.0,7299.9501953125,6930.0,7265.39990234375,6963.43310546875,1757310
2021-06-23 00:00:00+05:30,7266.10009765625,7479.0,7240.0498046875,7432.7001953125,7123.77978515625,2227399
2021-06-24 00:00:00+05:30,7448.7998046875,7550.0,7410.10009765625,7527.4501953125,7214.59130859375,1041762
2021-06-25 00:00:00+05:30,7540.0,7665.0,7540.0,7649.0,7331.08984375,1216123
2021-06-28 00:00:00+05:30,7698.0,7698.0,7571.39990234375,7596.25,7280.533203125,433364
2021-06-29 00:00:00+05:30,7596.0,7601.0,7452.5498046875,7487.5,7176.3017578125,480219
2021-06-30 00:00:00+05:30,7505.5,7646.60009765625,7492.60009765625,7515.89990234375,7203.52197265625,729267
2021-07-01 00:00:00+05:30,7500.0,7605.0,7495.0498046875,7584.39990234375,7269.17431640625,584331
2021-07-02 00:00:00+05:30,7625.0,7634.5,7546.5498046875,7573.85009765625,7259.0634765625,434905
2021-07-05 00:00:00+05:30,7596.2998046875,7690.0,7583.0,7599.4501953125,7283.60009765625,484183
2021-07-06 00:00:00+05:30,7600.0,7657.9501953125,7487.4501953125,7514.9501953125,7202.61181640625,425103
2021-07-07 00:00:00+05:30,7528.0,7581.0,7433.64990234375,7449.39990234375,7139.78564453125,395336
2021-07-08 00:00:00+05:30,7455.0,7498.0,7385.0,7401.2001953125,7093.5888671875,391940
2021-07-09 00:00:00+05:30,7381.0,7447.89990234375,7343.39990234375,7425.7001953125,7117.07080078125,400686
2021-07-12 00:00:00+05:30,7500.0,7589.7998046875,7451.0498046875,7470.10009765625,7159.62548828125,496478
2021-07-13 00:00:00+05:30,7520.0,7529.2001953125,7404.0,7430.35009765625,7121.52734375,350032
2021-07-14 00:00:00+05:30,7436.0,7449.0,7310.0,7326.75,7022.2333984375,460178
2021-07-15 00:00:00+05:30,7357.0,7358.0,7268.0,7307.0,7003.30419921875,430055
2021-07-16 00:00:00+05:30,7333.0,7333.0,7272.7998046875,7303.5498046875,6999.9970703125,281552
2021-07-19 00:00:00+05:30,7251.7001953125,7297.0,7151.10009765625,7165.5498046875,6867.7333984375,386598
2021-07-20 00:00:00+05:30,7180.0,7265.0,7144.4501953125,7232.7001953125,6932.0927734375,413816
2021-07-22 00:00:00+05:30,7302.0,7325.0,7246.2998046875,7299.5498046875,6996.16357421875,439934
2021-07-23 00:00:00+05:30,7300.0,7375.0,7277.0,7293.85009765625,6990.70068359375,436330
2021-07-26 00:00:00+05:30,7307.0,7360.0,7180.0,7235.7998046875,6935.06298828125,431758
2021-07-27 00:00:00+05:30,7241.2998046875,7320.0,7160.85009765625,7240.25,6939.32861328125,417171
2021-07-28 00:00:00+05:30,7280.0,7312.0,7063.0,7165.0498046875,6867.25390625,739427
2021-07-29 00:00:00+05:30,7130.0,7130.0,6936.0,6993.5,6702.83447265625,1519226
2021-07-30 00:00:00+05:30,7000.0,7095.0,6964.89990234375,6977.7001953125,6687.6904296875,715546
2021-08-02 00:00:00+05:30,7100.0,7107.4501953125,7031.0,7076.9501953125,6782.81591796875,433760
2021-08-03 00:00:00+05:30,7124.9501953125,7221.0,7086.10009765625,7199.39990234375,6900.1767578125,470570
2021-08-04 00:00:00+05:30,7220.0,7248.60009765625,7003.5,7102.89990234375,6807.68701171875,484122
2021-08-05 00:00:00+05:30,7072.0,7079.9501953125,7006.0,7027.5498046875,6778.4130859375,495133
2021-08-06 00:00:00+05:30,7054.7998046875,7168.5,7042.5498046875,7100.7998046875,6849.06591796875,517575
