Date,Open,High,Low,Close,Adj Close,Volume
2021-05-14 00:00:00+05:30,197.3976287841797,205.2935333251953,196.43470764160156,204.37875366210938,166.852294921875,64021335
2021-05-17 00:00:00+05:30,208.76002502441406,208.95260620117188,203.80101013183594,204.7157745361328,167.12741088867188,39465392
2021-05-18 00:00:00+05:30,206.16015625,206.64161682128906,201.87518310546875,202.26034545898438,165.12283325195312,31653409
2021-05-19 00:00:00+05:30,202.26034545898438,203.56028747558594,199.85305786132812,200.04563903808594,163.31480407714844,25345241
2021-05-20 00:00:00+05:30,200.7196807861328,201.5381622314453,199.13087463378906,199.32345581054688,162.72518920898438,21688686
2021-05-21 00:00:00+05:30,199.9011993408203,202.06776428222656,199.7086181640625,201.2974395751953,164.33673095703125,23509878
2021-05-24 00:00:00+05:30,201.73074340820312,204.18617248535156,200.04563903808594,203.6565704345703,166.26272583007812,29977506
2021-05-25 00:00:00+05:30,205.1009521484375,205.48611450195312,202.4529266357422,203.07882690429688,165.7910614013672,26310600
2021-05-26 00:00:00+05:30,203.94544982910156,204.57135009765625,202.50108337402344,202.78994750976562,165.55520629882812,18253046
2021-05-27 00:00:00+05:30,203.17510986328125,206.2082977294922,202.50108337402344,203.31954956054688,165.98756408691406,49385674
2021-05-28 00:00:00+05:30,204.61949157714844,205.5823974609375,203.70472717285156,205.00465393066406,167.36328125,26583388
2021-05-31 00:00:00+05:30,207.0267791748047,209.81922912597656,206.4490203857422,208.56744384765625,170.27188110351562,75852502
2021-06-01 00:00:00+05:30,209.91552734375,211.26361083984375,206.30459594726562,207.2675018310547,169.21063232421875,40247686
2021-06-02 00:00:00+05:30,202.69366455078125,204.57135009765625,200.86412048339844,201.24928283691406,164.29742431640625,100377464
2021-06-03 00:00:00+05:30,202.93438720703125,202.93438720703125,200.9604034423828,201.2974395751953,164.33673095703125,48454441
2021-06-04 00:00:00+05:30,201.73074340820312,201.92332458496094,200.286376953125,201.00856018066406,164.1009063720703,31286264
2021-06-07 00:00:00+05:30,202.5973663330078,204.523193359375,202.40478515625,203.60842895507812,166.22341918945312,32643869
